Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
FAR: Lone Sails;Switzerland;Traverse a dried-out seabed littered with the remains of a decaying civilization. Keep your unique vessel going, overcome numerous obstacles and withstand the hazardous weather conditio;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/609320/header.jpg?t=1724241894;Assemble Entertainment;Okomotive;Windows, macOS, Playstation;https://store.steampowered.com/app/609320/FAR_Lone_Sails/;17 May, 2018;Action, Adventure, Indie;;https://store.playstation.com/en-us/product/UP3178-CUSA14846_00-0000000000000000/;;
Meerkat Swiftrace;Switzerland;In this 3D platforming / racing game you play as a young meerkat, trying to climb the ranks. Drive the unique force mechanic to perfection to climb the leaderboards and prove your skill;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2276130/header.jpg?t=1724138966;Dimini Games;Dimini Games;Windows;https://store.steampowered.com/app/2276130/Meerkat_Swiftrace/;To be announced;Action, Indie, Racing;;;;
Herdling;Switzerland;Guide a herd of mysterious creatures on a stirring and beautiful journey into the mountains… and beyond.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3047750/header.jpg?t=1724182141;Panic;Okomotive;Windows;https://store.steampowered.com/app/3047750/Herdling/;To be announced;Adventure, Casual, Indie;;;;
CACTUS;Switzerland;Be the cactus, become the legend! Master foes, evade traps, and uncover artifacts as a spiky hero in this unique indie FPS, blending classic elements with quirky new ideas.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2067890/header.jpg?t=1725122304;Axon Flux;Axon Flux;Windows, Playstation;https://store.steampowered.com/app/2067890/CACTUS/;March 2025;Action, Adventure, Indie;;https://store.playstation.com/en-us/product/UP1520-CUSA03161_00-CACTUS0000000001/;;
Nocturnal 2;Switzerland;Nocturnal 2 is a fast-paced, 2D Metroidvania. Ignite your sword and explore the dark depths and towering heights of a forgotten island that consumed itself long ago.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2847780/header.jpg?t=1721818517;Sunnyside Games;Sunnyside Games;Windows;https://store.steampowered.com/app/2847780/Nocturnal_2/;To be announced;Action, Adventure, Indie;;;;
Thyria;Switzerland;Thyria is an RPG, a unique combination of dynamic exploration, turn-based combat and crafting. Summon and train a team of Guardians, who will accompany Thyria into the minds of the curs;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1608590/header.jpg?t=1725318944;GrabTheGames;Twokats;Windows, SteamOS + Linux;https://store.steampowered.com/app/1608590/Thyria/;29 Feb, 2024;Indie, RPG, Early Access;;;;
Supersonic Bridge Racing;Switzerland;A fast-paced racing game where the player controls the track. Fight against Friends on a global leaderboard or in the local multiplayer. Supersonic Bridge Racing is a mix between a flyi;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2731160/header.jpg?t=1713010753;Stumi Games;Stumi Games;Windows, macOS;https://store.steampowered.com/app/2731160/Supersonic_Bridge_Racing/;To be announced;Racing;;;;
Warriors of Thalyrion;Switzerland;Choose your hero and fight against your friends in different 2D pixelart worlds . Collect more items than your opponent and fight him in close combat or with a ranged weapon.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2967820/header.jpg?t=1725304359;Castle Village Games;Castle Village Games;Windows;https://store.steampowered.com/app/2967820/Warriors_of_Thalyrion/;December 2024;Action, Indie;;;;
Smelogs Playground;Switzerland;Smelogs Playground is a Free-to-Play Real-Time Strategy game with charming aesthetics and a simple but effective gameplay mechanism. Take over the playful and rocky Smelogs to compete a;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1799530/header.jpg?t=1726079239;Nifty Productions;Nifty Productions;Windows;https://store.steampowered.com/app/1799530/Smelogs_Playground/;18 Apr, 2024;Action, Indie, Strategy, Free To Play, Early Access;https://store.epicgames.com/en-US/p/smelogs-playground-a953e3;;;
Eternia: Pet Whisperer;Switzerland;Tired of the daily churn, only to come home to an empty apartment? The Rainbow Dome shelter will help you find the perfect partner to spice up your life! Check out our exotic selection ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1605720/header.jpg?t=1669826927;Shirakumo Games;Shirakumo Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1605720/Eternia_Pet_Whisperer/;5 May, 2021;Adventure, Casual;;;;
Towaga: Among Shadows;Switzerland;Towaga: Among Shadows is a short and intense shoot-em-up game in which you wield the powers of the light to fend off enemies. It's fast-paced, hand-drawn and... free!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/907600/header.jpg?t=1726073523;Noodlecake;Sunnyside Games;Windows, Playstation;https://store.steampowered.com/app/907600/Towaga_Among_Shadows/;14 Jul, 2020;Action, Indie, Free To Play;;https://store.playstation.com/en-us/product/UP4199-CUSA25136_00-5119691961884175/;;
Nocturnal: Enhanced Edition;Switzerland;Carve your way with fire and steel to find out what secrets lie beyond the Mist in this intense 3-hour-long action-platformer game. Get ready to wield the flames and burn everything!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1634080/header.jpg?t=1721739812;Dear Villagers;Sunnyside Games;Windows;https://store.steampowered.com/app/1634080/Nocturnal_Enhanced_Edition/;7 Jun, 2023;Action, Adventure;;;;
Kandria;Switzerland;Explore a ruined open world of caverns and settlements. Hack and slash your way through missions: patrol, repair, scavenge - choose your quests and dialogue. Or go fishing, forage mushr;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1261430/header.jpg?t=1703688426;Shirakumo Games;Shirakumo Games;Windows, SteamOS + Linux;https://store.steampowered.com/app/1261430/Kandria/;11 Jan, 2023;Action, Adventure, Indie, RPG;;;;
Helvetii;Switzerland;Helvetii is a character-action game set in Gallic Celtic Mythology. Challenge the everchanging rot with 3 characters, use the gifts and powers bestowed by primal deities and show your m;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1094590/header.jpg?t=1703173038;Team KwaKwa, Red Art Games;Team KwaKwa;Windows, SteamOS + Linux, Playstation, Nintendo;https://store.steampowered.com/app/1094590/Helvetii/;3 Feb, 2023;Action, Indie;;https://store.playstation.com/en-us/concept/10004323;;https://www.nintendo.com/us/store/products/helvetii-switch/
DIG - Deep In Galaxies;Switzerland;Free the galaxies in this action platformer! Jump, swing, dig and shoot your way through uncharted planets. Give hell to the Overlord's forces and face alien foes. Earn rewards after ev;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1442840/header.jpg?t=1725558598;Molton Studio;Molton Studio;Windows;https://store.steampowered.com/app/1442840/DIG__Deep_In_Galaxies/;8 Mar, 2023;Action, Adventure, Indie;https://store.epicgames.com/en-US/p/dig-deep-in-galaxies-973f95;;;
