Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
AftLife -Girl and Cats, and Lost world-;Japan;"A girl and cats make ""Heartful Comedy & Mystery"" Comedy depicting calm everyday! The big mystery is solved in story. New Stories from Update Story is composed of short stories that are ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1263610/header.jpg?t=1585137619;ryoheyLab.;ryoheyLab.;Windows;https://store.steampowered.com/app/1263610/AftLife_Girl_and_Cats_and_Lost_world/;25 Mar, 2020;Adventure, Casual, Free To Play, Indie;Unknown;Unknown;Unknown;Unknown
VR Mummy Girl;Japan;A mummy girl who has been asleep deep inside a pyramid for more than 1000 years wakes up. She doesn’t know what era is it is, who she is, or the reason she's there. She keeps walking,...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1258560/header.jpg?t=1635942009;まこちゃんといっしょ;まこちゃんといっしょ;Windows;https://store.steampowered.com/app/1258560/VR_Mummy_Girl/;20 Mar, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
LAST CHICK - 最後のひよこ;Japan;"The second of low-price series of KimidoriSoft! ""LAST CHICK - 最後のひよこ""!An action game depicting the majestic daily lives of chickens and their families living in a world wher...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1256430/header.jpg?t=1667373827;KIMIDORI SOFT;KIMIDORI SOFT;Windows;https://store.steampowered.com/app/1256430/LAST_CHICK/;19 Mar, 2020;Action, Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Tower of the Approval;Japan;New feeling! Roguelike action!Do you know such a story? ?When you reach the top floor, you will be recognized as a single person ApplivarA story about a craftsman who starts to yearn fo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1242800/header.jpg?t=1594084020;AnelaGamesStudio;AECRNIA;Windows;https://store.steampowered.com/app/1242800/Tower_of_the_Approval/;12 Mar, 2020;Action, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Tales in the TAXI;Japan;『Tales in the TAXI』 is a multi-ending adventure game in which the story diverges by driving a taxi and talking with passengers.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1249390/header.jpg?t=1593299971;まんぷくえんたていんめんと;まんぷくえんたていんめんと;Windows;https://store.steampowered.com/app/1249390/Tales_in_the_TAXI/;14 Mar, 2020;Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
The House in the Forest;Japan;The House in the Forest is a short, first-person exploration game about a family who moved out to go live a lonely life. You'll play as a person who got lost on the way back to his hous...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1242910/header.jpg?t=1662352013;_k.y.;_k.y.;Windows;https://store.steampowered.com/app/1242910/The_House_in_the_Forest/;29 Feb, 2020;Adventure, Casual, Indie, Simulation;Unknown;Unknown;Unknown;Unknown
∀kashicverse -Malicious Wake-;Japan;"It is a 2D Sci-Fi Action Shoot 'em up that can use command deadly techniques like fighting games. In this title, you can destroy enemies by using 10 distinctive special moves, ""Methods""...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1225610/header.jpg?t=1607852384;Endless Shirafu;Endless Shirafu;Windows;https://store.steampowered.com/app/1225610/kashicverse_Malicious_Wake/;30 Nov, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
∀kashicforce;Japan;∀kashicforce is a puzzle-game-like, rhythm-game-like game where you input commands to use moves like in a fighting game. The goal is to crush your opponent to a pulp with an immense a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/857460/header.jpg?t=1728181032;Fruitbat Factory;Endless Shirafu;Windows;https://store.steampowered.com/app/857460/kashicforce/;29 Mar, 2019;Action, Indie;Unknown;Unknown;Unknown;Unknown
Mine Dungeon;Japan;A Minesweeper game with a cute character, the control like a action game, and there have barrier objects and enemies.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1249170/header.jpg?t=1592463727;CelLab, ZestoStudio;celusis;Windows;https://store.steampowered.com/app/1249170/Mine_Dungeon/;8 Mar, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
Lessons with Chii-chan;Japan;Kouta, a timid university student is tasked with tutoring the outgoing yet dense Chieri to help her get through her exams. However, they couldn't be more different. Find out what hijink...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1217570/header.jpg?t=1727808248;FAKKU;Orcsoft;Windows;https://store.steampowered.com/app/1217570/Lessons_with_Chiichan/;12 Mar, 2020;Adventure;Unknown;Unknown;Unknown;Unknown
