Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Neon Wings: Air Race;Hungary;Want to race without the constraints of the ground? Then Neon Wings is your game! Neon Wings: Air Race is an adrenaline-filled, fast-paced air racing game with a lot of single and multi;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1462760/header.jpg?t=1704426932;Fubenalvo;Fubenalvo, SXtheOne;Windows, SteamOS + Linux;https://store.steampowered.com/app/1462760/Neon_Wings_Air_Race/;15 May, 2021;Racing, Free To Play;;;;
Hijacker Jack : ARCADE FMV;Hungary;Fast-paced, action-packed ARCADE FMV. Famous. Rich. And simple. Live like Jack!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1422730/header.jpg?t=1633988273;New IDEA Games;New IDEA Games;Windows;https://store.steampowered.com/app/1422730/Hijacker_Jack__ARCADE_FMV/;8 Dec, 2020;Action, Adventure, Indie, RPG, Simulation;;;;
Slaves of Magic;Hungary;Humanity has been invaded by otherworldly forces using magic. Can you lead the resistance against the oppressors in this fantasy turn-based tactical strategy game to save humanity from ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1442610/header.jpg?t=1726392620;Amethyst Dreamers;Amethyst Dreamers;Windows;https://store.steampowered.com/app/1442610/Slaves_of_Magic/;Q1 2025;RPG, Strategy;;;;
Carebotz;Hungary;Carebotz is an arena shooter game spiced with metroidvania elements. You control BIBZ, a little maintenance droid. Collect the tons of blueprints, navigate the tight corridors, customiz;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1468240/header.jpg?t=1678695800;Glasscannon Studio;Glasscannon Studio;Windows, Nintendo;https://store.steampowered.com/app/1468240/Carebotz/;7 May, 2021;Action, Adventure, Indie;;;;https://www.nintendo.com/us/store/products/carebotz-switch/
Dread Nautical;Hungary;Your cruise was so relaxing until the monsters from another dimension showed up to kill everyone. Fight them off, manage your resources effectively, and convince scattered survivors to ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1426900/header.jpg?t=1682003487;Zen Studios;Zen Studios;Windows, Playstation, Nintendo;https://store.steampowered.com/app/1426900/Dread_Nautical/;27 Oct, 2020;Indie, RPG;https://store.epicgames.com/en-US/p/dread-nautical;https://store.playstation.com/en-us/product/UP4042-CUSA14957_00-DREADNAUTICAL001/;;https://www.nintendo.com/us/store/products/dread-nautical-switch/
Dustoff Z;Hungary;Get those blades spinning and load up on guns and ammo, the time has come to rebuild humanity! Dustoff Z is a game about maneuvering combat-helicopters in one of the harshest weather co;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1277840/header.jpg?t=1604576286;Zordix Publishing, Green Man Gaming Publishing;Invictus Games Ltd.;Windows, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/1277840/Dustoff_Z/;15 Oct, 2020;Action;;https://store.playstation.com/en-us/product/UP1629-CUSA20450_00-IS00012516000111/;https://www.xbox.com/en-us/games/store/dustoff-z/9n3d8whqrz3m;https://www.nintendo.com/us/store/products/dustoff-z-switch/
King Arthur: Knight's Tale;Hungary;A unique hybrid between turn-based tactical games and traditional, character-centric RPGs. Knight's Tale is a modern retelling of a classic Arthurian mythology story filtered through th;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1157390/header.jpg?t=1715275835;NeocoreGames;NeocoreGames;Windows, Playstation, Xbox;https://store.steampowered.com/app/1157390/King_Arthur_Knights_Tale/;26 Apr, 2022;RPG, Strategy;;https://store.playstation.com/en-us/product/UP8115-PPSA19993_00-KAKT00000000SIEA;https://www.xbox.com/en-US/games/store/king-arthur-knights-tale/9NLQ6HBNZC53;
Gordian Rooms: A curious heritage Prologue;Hungary;Gordian Rooms: A Curious Heritage is a Victorian escape game, where you solve various puzzles in your late uncle’s mansion in the hope of obtaining his legacy. In the prologue you can;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1386790/header.jpg?t=1684953106;Crimsonite Games;Crimsonite Games;Windows;https://store.steampowered.com/app/1386790/Gordian_Rooms_A_curious_heritage_Prologue/;17 Sep, 2020;Adventure, Casual, Free To Play, Indie;;;;
Gordian Rooms 1: A curious heritage;Hungary;Gordian Rooms: A Curious Heritage is a Victorian escape game, where you solve various puzzles in your late uncle’s mansion in the hope of obtaining his legacy.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1285080/header.jpg?t=1725042186;Crimsonite Games;Crimsonite Games;Windows;https://store.steampowered.com/app/1285080/Gordian_Rooms_1_A_curious_heritage/;22 Sep, 2020;Adventure, Indie;;;;
Random(platformer);Hungary;a minimalistic 2D platformer game with randomly generated levels. a level can't be exactly the same twice!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1424960/header.jpg?t=1604471924;remete;remete;Windows;https://store.steampowered.com/app/1424960/Randomplatformer/;13 Oct, 2020;Action, Casual, Indie;;;;
